Crop,Soil_pH,Organic_Matter_Percent,N_Content_mgkg,P_Content_mgkg,K_Content_mgkg,Rainfall_mm,Temperature_C,Yield_Tons_per_ha,Fertilizer_Recommendation
Soybeans,6.69,4.37,68.2,47.1,170.5,733.3,20.8,3.2,No fertilizer needed
Wheat,7.07,3.52,73.3,33.4,181.7,717.3,17.1,4.37,No fertilizer needed
Rice,5.35,3.38,118.4,43.2,239.5,858.0,23.3,4.98,No fertilizer needed
Soybeans,7.46,4.57,64.2,35.4,237.2,510.3,22.5,3.13,No fertilizer needed
Wheat,6.9,4.03,96.0,33.6,221.6,579.0,18.0,4.7,No fertilizer needed
Soybeans,5.98,2.23,108.4,79.0,215.4,711.0,22.5,2.93,No fertilizer needed
Wheat,6.7,3.62,143.5,33.2,171.6,519.4,15.6,4.49,No fertilizer needed
Corn,6.59,3.25,158.6,27.4,102.4,581.0,21.8,6.01,Need K fertilizer
Rice,5.79,3.94,110.7,33.4,197.5,934.3,24.3,5.23,No fertilizer needed
Soybeans,6.67,4.48,53.7,38.1,190.9,507.7,19.9,3.28,No fertilizer needed
Corn,7.26,2.68,122.1,25.1,191.6,711.3,21.0,6.6,Need P fertilizer
Soybeans,6.4,4.22,48.7,24.1,170.0,701.4,23.4,3.17,Need P fertilizer
Rice,5.13,4.46,119.5,14.6,239.1,832.4,20.1,4.53,Need P fertilizer
Soybeans,6.76,3.96,112.1,52.1,185.5,519.5,23.6,3.03,No fertilizer needed
Wheat,6.18,2.43,104.4,38.6,263.1,633.7,21.6,4.46,No fertilizer needed
Soybeans,6.37,5.77,113.7,43.0,267.6,695.8,23.1,3.0,No fertilizer needed
Corn,7.14,2.59,128.8,57.7,208.6,759.7,22.5,6.2,No fertilizer needed
Soybeans,6.71,3.96,47.7,38.4,140.0,695.9,23.8,3.08,No fertilizer needed
Soybeans,6.24,4.7,55.8,57.5,147.3,515.5,20.9,3.07,No fertilizer needed
Wheat,7.34,4.68,107.5,26.9,187.3,634.2,16.9,4.22,No fertilizer needed
Soybeans,7.64,4.18,57.3,45.2,201.7,551.7,26.7,3.11,No fertilizer needed
Soybeans,6.52,4.33,83.7,41.9,196.3,594.5,23.8,3.31,No fertilizer needed
Rice,5.35,3.29,110.4,35.9,197.2,835.4,25.2,5.02,No fertilizer needed
Soybeans,7.39,5.44,35.5,33.6,183.4,528.7,23.7,2.97,Need N fertilizer
Rice,5.37,3.39,89.4,36.4,122.6,893.6,25.8,5.16,No fertilizer needed
Rice,6.0,4.02,125.1,40.5,157.5,948.0,28.6,4.99,No fertilizer needed
Wheat,6.09,2.34,115.1,23.9,170.7,596.2,16.8,4.23,No fertilizer needed
Soybeans,6.96,3.64,134.3,42.8,176.9,536.9,22.3,3.19,No fertilizer needed
Soybeans,6.03,4.95,66.1,41.9,153.8,652.6,23.1,3.19,No fertilizer needed
Soybeans,7.06,3.23,63.0,65.1,201.5,435.4,22.6,3.04,No fertilizer needed
Rice,6.5,4.29,131.6,22.2,166.8,868.9,25.7,5.05,No fertilizer needed
Soybeans,6.89,5.2,97.1,52.1,197.7,581.5,21.1,3.11,No fertilizer needed
Wheat,6.03,3.09,71.7,33.3,229.9,700.6,21.3,4.45,Need N fertilizer
Corn,7.09,2.96,107.8,45.3,195.4,765.1,19.6,6.53,No fertilizer needed
Soybeans,6.18,5.32,70.4,48.6,211.9,536.7,25.2,3.3,No fertilizer needed
Rice,5.69,3.45,105.5,27.2,126.5,840.3,22.8,5.14,No fertilizer needed
Rice,6.33,3.14,72.2,35.9,188.6,880.4,22.0,4.83,Need N fertilizer
Corn,6.74,1.83,124.6,33.2,181.9,870.7,21.1,6.58,No fertilizer needed
Corn,5.69,2.75,135.5,29.4,213.9,659.0,21.4,6.13,No fertilizer needed
Rice,6.15,4.45,129.8,20.0,268.7,877.6,28.9,4.64,No fertilizer needed
Corn,6.14,1.91,84.6,24.9,252.7,702.2,22.3,5.88,Need N-P complex fertilizer
Soybeans,6.66,3.4,36.6,60.0,245.6,576.0,22.3,3.1,Need N fertilizer
Soybeans,6.68,5.24,57.8,30.9,135.0,481.2,22.7,3.08,Need P fertilizer
Rice,6.11,4.2,147.3,23.4,177.7,971.2,24.8,4.77,No fertilizer needed
Rice,5.82,3.42,136.6,33.2,197.0,950.4,29.3,4.82,No fertilizer needed
Rice,5.5,4.86,148.7,41.5,143.6,894.8,27.6,4.93,No fertilizer needed
Wheat,5.21,4.22,153.2,24.2,205.2,627.0,17.3,4.07,No fertilizer needed
Corn,6.39,3.47,119.5,52.4,167.6,568.4,22.8,6.44,No fertilizer needed
Corn,6.44,2.4,114.3,72.7,149.2,674.9,22.9,6.2,No fertilizer needed
Corn,6.03,4.13,116.6,40.3,205.8,796.3,26.4,6.45,No fertilizer needed
Soybeans,6.99,3.98,98.8,35.0,153.6,590.6,22.9,3.06,No fertilizer needed
Wheat,5.52,3.08,103.8,32.6,213.3,620.0,18.2,4.46,No fertilizer needed
Corn,6.17,2.81,92.0,38.5,159.8,710.1,22.0,6.3,No fertilizer needed
Wheat,7.52,3.54,99.5,51.3,275.5,673.1,18.1,4.12,No fertilizer needed
Rice,5.91,4.48,101.2,28.6,113.9,1009.0,24.1,4.92,No fertilizer needed
Wheat,5.57,3.07,127.0,34.7,128.5,553.5,19.8,4.51,Need K fertilizer
Wheat,6.36,3.84,100.1,29.9,263.5,746.6,20.8,4.44,No fertilizer needed
Rice,5.94,3.45,120.2,36.4,133.9,908.2,26.1,5.0,No fertilizer needed
Wheat,5.65,3.46,93.8,29.0,184.6,595.9,17.3,4.63,No fertilizer needed
Wheat,6.75,3.13,82.9,53.0,162.8,693.1,18.7,4.43,No fertilizer needed
Soybeans,6.67,4.66,119.7,54.1,204.4,628.6,22.8,3.18,No fertilizer needed
Wheat,6.04,3.61,96.7,34.8,228.1,566.3,18.2,4.31,No fertilizer needed
Corn,6.19,2.76,123.7,52.9,117.6,818.3,23.0,6.63,No fertilizer needed
Corn,5.91,2.51,159.6,40.5,216.8,682.5,21.3,6.08,No fertilizer needed
Soybeans,7.57,3.91,83.2,59.3,171.0,561.7,19.5,3.22,No fertilizer needed
Wheat,6.92,2.95,97.8,50.2,235.1,486.5,19.0,4.29,No fertilizer needed
Rice,5.72,3.32,91.5,35.2,161.4,934.3,25.7,5.14,No fertilizer needed
Rice,5.81,3.76,77.6,40.9,172.2,927.4,22.3,4.75,Need N fertilizer
Soybeans,5.86,4.33,52.1,52.4,137.1,523.4,21.7,3.15,No fertilizer needed
Corn,6.95,3.51,105.3,46.0,130.3,589.6,23.4,6.38,No fertilizer needed
Soybeans,6.61,3.72,58.8,40.6,159.9,623.1,25.6,3.3,No fertilizer needed
Rice,6.05,3.59,105.0,45.6,252.6,994.9,28.0,4.86,No fertilizer needed
Corn,6.78,3.54,125.3,66.4,132.7,660.3,20.4,6.43,No fertilizer needed
Corn,6.75,1.55,99.8,35.1,157.8,784.8,21.6,6.36,No fertilizer needed
Soybeans,6.51,3.31,126.5,51.0,235.8,456.8,23.3,3.16,No fertilizer needed
Soybeans,6.31,2.88,62.7,53.9,166.8,379.3,24.8,2.92,No fertilizer needed
Wheat,6.69,3.58,87.4,44.3,99.1,618.5,19.2,4.19,Need K fertilizer
Wheat,6.51,3.19,78.0,49.3,165.0,771.3,17.0,4.22,No fertilizer needed
Wheat,6.21,3.64,62.6,21.7,236.0,780.8,17.9,4.35,Need N-P complex fertilizer
Soybeans,7.2,4.15,83.4,71.9,160.5,589.3,21.1,3.13,No fertilizer needed
Soybeans,6.2,4.8,76.6,58.6,88.2,623.3,20.1,3.07,Need K fertilizer
Rice,6.3,3.26,90.5,27.2,191.3,869.8,24.9,5.15,No fertilizer needed
Soybeans,6.79,3.6,88.4,28.7,254.0,599.7,21.9,3.2,Need P fertilizer
Wheat,6.37,2.95,122.1,25.2,260.5,514.8,18.2,4.49,No fertilizer needed
Wheat,6.05,2.59,68.0,49.9,156.3,579.9,15.9,4.15,Need N fertilizer
Corn,6.73,2.12,136.7,65.5,223.6,577.7,22.6,6.22,No fertilizer needed
Corn,6.59,3.16,154.0,30.9,225.1,678.9,21.0,6.4,No fertilizer needed
Soybeans,7.67,4.42,77.4,50.6,196.6,581.9,22.3,3.04,No fertilizer needed
Soybeans,7.31,4.31,44.5,35.2,236.6,569.4,24.8,3.14,Need N fertilizer
Soybeans,6.15,4.29,105.2,46.4,241.0,598.8,24.3,3.04,No fertilizer needed
Soybeans,7.4,4.73,49.3,66.3,162.0,598.2,19.6,3.16,No fertilizer needed
Rice,7.23,2.61,104.5,18.6,156.9,950.0,23.7,4.86,No fertilizer needed
Rice,5.23,4.76,90.0,29.7,182.6,846.7,22.8,4.85,No fertilizer needed
Soybeans,7.27,4.12,61.8,50.4,133.5,473.2,23.6,3.02,No fertilizer needed
Soybeans,6.56,4.67,89.8,43.5,286.1,505.9,23.1,3.03,No fertilizer needed
Soybeans,5.87,3.16,24.9,33.5,151.1,606.9,23.6,2.99,Need N fertilizer
Soybeans,6.82,4.67,74.4,43.6,153.3,454.9,20.3,3.18,No fertilizer needed
Soybeans,6.83,5.09,30.6,60.1,122.5,708.1,22.1,2.84,Need K-N complex fertilizer
Corn,6.63,2.45,124.3,26.4,201.6,735.6,24.7,6.15,Need P fertilizer
Rice,6.46,2.79,98.8,39.4,130.4,918.1,25.7,5.16,No fertilizer needed
Soybeans,6.17,3.69,70.3,34.9,179.0,570.3,20.6,3.35,No fertilizer needed
Wheat,5.75,3.78,81.2,33.9,186.3,570.0,17.4,4.35,No fertilizer needed
Wheat,6.13,3.55,168.3,24.1,170.1,489.9,16.2,4.36,No fertilizer needed
Wheat,6.71,3.19,91.6,33.4,211.2,510.0,17.7,4.61,No fertilizer needed
Wheat,7.02,3.24,109.5,41.2,143.3,622.0,16.1,4.39,No fertilizer needed
Soybeans,7.2,4.57,77.0,40.5,217.8,560.2,21.8,3.32,No fertilizer needed
Soybeans,6.46,4.2,102.4,62.3,236.8,518.5,22.1,2.98,No fertilizer needed
Soybeans,6.63,4.41,69.9,57.5,177.9,592.7,22.2,3.33,No fertilizer needed
Corn,6.49,2.12,118.4,41.9,167.9,798.3,23.7,6.42,No fertilizer needed
Rice,5.89,3.68,93.0,35.4,135.9,962.4,26.4,5.01,No fertilizer needed
Soybeans,6.64,3.74,68.7,48.0,178.7,492.3,26.1,3.34,No fertilizer needed
Rice,6.11,4.06,93.6,30.5,202.9,927.9,24.3,4.84,No fertilizer needed
Soybeans,7.45,4.36,49.7,43.4,170.9,629.3,23.0,3.18,No fertilizer needed
Wheat,6.83,4.11,89.2,27.1,218.9,665.4,20.5,4.38,No fertilizer needed
Corn,6.67,3.52,121.9,44.6,120.8,654.3,24.9,6.46,No fertilizer needed
Rice,6.12,3.89,143.8,37.5,204.0,878.4,26.6,5.0,No fertilizer needed
Rice,5.53,3.88,138.7,12.7,122.8,857.0,27.3,4.54,Need P fertilizer
Corn,6.51,3.4,89.7,42.8,210.1,677.0,20.5,6.29,Need N fertilizer
Corn,6.53,3.42,107.8,48.3,172.2,560.0,21.1,6.18,No fertilizer needed
Soybeans,7.04,4.78,45.7,42.5,225.1,638.8,26.5,3.29,No fertilizer needed
Wheat,6.94,2.96,71.4,42.8,132.8,610.4,20.6,4.5,Need K-N complex fertilizer
Wheat,5.14,2.77,119.8,44.6,206.2,590.2,18.8,4.36,No fertilizer needed
Soybeans,6.48,4.46,65.1,41.0,146.9,514.8,23.8,3.18,No fertilizer needed
Wheat,6.14,2.96,134.2,46.2,143.7,651.3,16.3,4.22,No fertilizer needed
Soybeans,7.49,3.31,52.2,54.3,150.2,601.1,22.2,3.1,No fertilizer needed
Wheat,6.09,3.15,122.2,55.2,240.8,666.3,13.9,4.29,No fertilizer needed
Wheat,6.28,2.98,142.7,43.5,169.8,728.1,18.1,4.17,No fertilizer needed
Corn,5.43,2.73,98.9,43.1,216.9,662.7,24.1,6.68,No fertilizer needed
Soybeans,6.31,4.78,57.6,45.9,322.6,532.4,24.6,3.22,No fertilizer needed
Soybeans,7.29,3.83,59.3,34.0,152.5,482.8,23.1,3.2,No fertilizer needed
Wheat,6.61,3.09,127.0,31.4,158.8,544.9,22.6,4.26,No fertilizer needed
Soybeans,6.82,3.92,58.6,53.1,172.5,604.2,24.3,3.07,No fertilizer needed
Soybeans,6.26,4.6,66.9,53.7,202.3,601.3,25.6,3.14,No fertilizer needed
Corn,6.64,3.19,98.8,28.4,155.5,718.3,22.7,6.38,No fertilizer needed
Rice,5.77,3.35,72.8,35.4,236.1,898.2,25.8,4.87,Need N fertilizer
Soybeans,6.41,4.43,45.7,47.2,178.7,537.3,21.2,3.24,No fertilizer needed
Soybeans,7.37,4.46,72.1,59.7,238.5,586.3,20.1,3.12,No fertilizer needed
Rice,5.71,2.96,84.9,19.2,135.5,940.6,27.8,5.09,No fertilizer needed
Wheat,6.94,3.78,75.6,45.0,191.5,598.8,18.1,4.25,No fertilizer needed
Soybeans,7.06,3.92,77.8,72.1,188.3,667.9,23.6,3.02,No fertilizer needed
Soybeans,6.71,4.29,78.1,41.6,210.5,776.6,23.3,3.14,No fertilizer needed
Soybeans,6.61,4.78,73.4,35.4,200.3,680.1,21.3,3.08,No fertilizer needed
Soybeans,7.2,4.1,22.8,54.0,194.8,589.6,20.8,2.97,Need N fertilizer
Wheat,6.55,2.97,95.1,39.9,123.4,528.4,15.4,4.4,Need K fertilizer
Wheat,5.18,3.06,85.4,35.0,281.7,610.4,16.9,4.38,No fertilizer needed
Soybeans,7.17,4.3,60.1,53.5,156.9,686.0,22.2,3.31,No fertilizer needed
Wheat,6.15,3.71,154.4,49.9,147.1,636.0,17.5,4.17,No fertilizer needed
Corn,6.91,2.03,134.4,59.0,178.7,785.1,20.9,6.3,No fertilizer needed
Wheat,6.09,2.6,135.2,39.6,209.6,672.7,19.3,4.26,No fertilizer needed
Rice,6.64,3.82,111.7,57.0,162.8,886.9,24.8,4.91,No fertilizer needed
Rice,5.26,4.03,115.5,44.7,164.7,881.2,27.8,5.05,No fertilizer needed
Soybeans,7.4,4.52,59.3,44.0,189.7,592.1,28.2,3.11,No fertilizer needed
Corn,5.44,2.41,124.0,24.1,147.4,665.3,26.3,5.96,Need P fertilizer
Wheat,5.94,3.31,93.6,30.9,167.9,542.8,20.0,4.64,No fertilizer needed
Wheat,6.48,3.19,118.2,44.6,207.9,658.6,18.3,4.45,No fertilizer needed
Soybeans,7.97,3.17,67.5,41.4,154.1,727.5,24.0,3.0,No fertilizer needed
Corn,6.54,1.56,131.9,30.8,186.3,767.5,23.1,6.33,No fertilizer needed
Rice,6.86,3.58,95.3,30.2,193.1,855.4,25.5,4.73,No fertilizer needed
Rice,4.95,3.53,133.0,27.5,168.6,897.8,25.8,4.9,No fertilizer needed
Soybeans,5.69,4.2,140.8,38.0,128.1,615.2,25.9,2.96,No fertilizer needed
Soybeans,6.8,4.56,73.0,42.7,220.0,559.7,24.3,3.33,No fertilizer needed
Corn,5.95,2.24,142.2,35.4,230.7,715.9,23.4,6.66,No fertilizer needed
Corn,7.36,2.43,117.5,49.7,223.1,753.1,24.9,6.68,No fertilizer needed
Rice,5.89,3.23,95.6,41.0,198.7,929.3,21.3,4.77,No fertilizer needed
Rice,6.4,4.15,115.0,12.7,165.0,952.6,24.7,4.97,Need P fertilizer
Wheat,7.08,3.42,61.7,40.9,280.3,722.6,17.5,4.27,Need N fertilizer
Soybeans,6.56,3.59,96.1,54.6,208.5,536.8,22.8,3.1,No fertilizer needed
Corn,6.78,3.24,110.9,28.5,207.9,544.5,24.4,6.66,No fertilizer needed
Soybeans,6.44,3.86,72.7,29.2,184.5,645.9,21.7,3.25,Need P fertilizer
Soybeans,6.74,4.53,72.5,41.6,234.5,531.5,23.8,3.08,No fertilizer needed
Soybeans,6.23,3.62,96.4,38.5,171.3,620.1,22.0,3.14,No fertilizer needed
Corn,6.64,2.25,124.3,41.0,132.1,762.8,25.2,6.69,No fertilizer needed
Corn,7.15,1.82,149.4,40.5,161.8,642.9,25.6,6.12,No fertilizer needed
Soybeans,7.15,4.56,66.9,69.6,225.9,588.2,20.7,2.94,No fertilizer needed
Corn,6.54,3.22,70.8,46.5,181.8,783.6,20.1,6.39,Need N fertilizer
Corn,6.28,2.55,118.0,44.5,169.8,609.5,21.1,6.66,No fertilizer needed
Corn,5.86,2.01,103.2,33.7,210.5,750.8,23.8,6.45,No fertilizer needed
Rice,6.16,3.84,100.8,64.7,156.9,1059.5,24.1,4.81,No fertilizer needed
Soybeans,6.87,4.13,48.8,40.3,191.4,593.5,19.8,3.29,No fertilizer needed
Soybeans,7.21,4.56,55.2,52.9,214.2,574.6,25.5,3.1,No fertilizer needed
Soybeans,7.04,3.29,61.2,59.4,213.6,432.9,26.4,3.09,No fertilizer needed
Rice,6.54,3.86,154.6,29.9,138.6,842.9,25.8,4.94,No fertilizer needed
Soybeans,6.8,4.28,79.5,33.8,148.4,576.4,22.9,3.27,No fertilizer needed
Wheat,6.7,3.57,93.4,30.4,279.3,710.3,18.1,4.55,No fertilizer needed
Soybeans,6.82,3.5,89.6,45.1,171.4,538.5,22.0,3.25,No fertilizer needed
Rice,7.75,2.87,141.2,28.2,200.4,993.4,23.7,4.75,No fertilizer needed
Wheat,5.54,2.82,71.8,16.1,174.9,676.5,17.7,4.36,Need N-P complex fertilizer
Wheat,6.75,4.27,61.7,31.8,221.5,731.5,18.8,4.42,Need N fertilizer
Soybeans,6.38,3.38,65.1,37.1,177.4,628.2,22.0,3.15,No fertilizer needed
Soybeans,7.1,4.7,74.6,36.8,119.9,646.5,24.5,3.13,Need K fertilizer
Wheat,5.4,3.66,45.0,24.7,135.5,538.8,19.9,4.25,Need N fertilizer
Wheat,6.8,4.09,99.5,24.8,168.1,644.0,16.9,4.32,No fertilizer needed
Soybeans,7.43,4.3,59.9,37.9,242.9,634.5,18.8,3.23,No fertilizer needed
Wheat,7.23,3.44,71.7,35.2,166.6,604.4,19.4,4.24,Need N fertilizer
Wheat,6.61,3.0,106.5,27.7,257.6,683.4,19.4,4.58,No fertilizer needed
Corn,7.32,1.46,135.3,16.4,119.0,719.2,22.8,5.89,Need P fertilizer
Rice,5.84,2.84,104.8,46.2,153.7,903.0,28.6,5.02,No fertilizer needed
Wheat,6.59,3.39,121.2,41.4,211.9,627.0,17.4,4.38,No fertilizer needed
Soybeans,6.7,4.29,53.8,36.7,146.5,690.0,20.7,3.06,No fertilizer needed
Corn,6.16,2.61,161.2,31.0,156.5,750.4,22.4,6.44,No fertilizer needed
Soybeans,6.98,3.67,42.1,48.8,164.4,529.0,25.0,3.19,Need N fertilizer
Wheat,6.55,2.38,108.9,28.5,270.2,646.4,18.7,4.27,No fertilizer needed
Corn,5.97,2.7,129.8,44.5,141.1,613.9,24.1,6.63,No fertilizer needed
Soybeans,7.04,5.76,92.8,37.0,140.0,580.2,24.9,3.26,No fertilizer needed
Rice,6.36,4.42,123.0,30.0,112.0,889.4,23.3,5.07,No fertilizer needed
Corn,6.68,2.93,129.3,57.8,165.7,779.5,19.5,6.06,No fertilizer needed
Soybeans,6.91,3.83,54.8,66.3,150.7,610.4,23.0,3.25,No fertilizer needed
Wheat,6.26,4.05,58.7,40.2,175.7,593.5,21.4,4.47,Need N fertilizer
Corn,7.18,2.39,181.3,49.5,177.4,567.0,21.5,5.91,No fertilizer needed
Soybeans,5.82,5.23,65.7,36.0,163.4,686.6,20.2,3.28,No fertilizer needed
Rice,6.04,3.83,103.7,21.3,161.9,993.4,30.9,4.87,No fertilizer needed
Corn,6.25,3.09,119.2,41.1,128.4,664.4,25.4,6.49,No fertilizer needed
Wheat,7.02,3.8,107.0,40.9,188.6,665.1,16.5,4.59,No fertilizer needed
Corn,5.12,2.5,121.6,44.8,210.0,817.9,22.8,6.58,No fertilizer needed
Rice,5.71,3.28,108.7,27.9,102.2,857.6,22.2,4.75,Need K fertilizer
Soybeans,6.78,4.27,96.4,44.0,177.6,614.8,23.6,3.19,No fertilizer needed
Wheat,5.52,2.64,95.1,22.1,223.6,528.7,17.6,4.52,Need P fertilizer
Corn,6.77,3.55,114.1,52.8,239.9,768.7,22.1,6.56,No fertilizer needed
Wheat,7.04,3.47,119.2,13.9,169.8,620.2,16.9,4.25,Need P fertilizer
Soybeans,5.98,4.2,81.6,49.9,240.1,570.0,22.1,3.04,No fertilizer needed
Rice,5.71,3.38,115.8,25.5,112.5,1058.3,24.6,4.68,No fertilizer needed
Soybeans,6.7,3.9,105.7,25.3,100.8,625.1,22.6,2.83,Need K-P complex fertilizer
Soybeans,6.19,4.34,74.6,50.4,208.7,645.6,22.4,3.23,No fertilizer needed
Rice,5.63,2.73,97.6,51.6,151.9,970.7,25.7,4.79,No fertilizer needed
Rice,6.43,3.21,157.0,31.9,216.4,896.0,25.2,4.94,No fertilizer needed
Wheat,7.15,3.32,53.4,35.6,260.9,651.2,19.5,4.38,Need N fertilizer
Rice,5.99,3.18,125.4,20.7,193.5,782.6,25.7,4.76,No fertilizer needed
Rice,5.82,4.6,118.8,13.1,172.4,944.4,28.3,4.97,Need P fertilizer
Corn,6.95,3.2,107.0,28.2,192.3,748.0,18.9,6.49,No fertilizer needed
Corn,6.62,3.04,122.9,34.8,167.1,650.1,22.5,6.59,No fertilizer needed
Corn,6.42,3.81,114.4,31.0,191.5,542.5,23.2,6.16,No fertilizer needed
Corn,6.35,0.99,138.7,58.1,170.3,715.2,23.9,5.8,No fertilizer needed
Corn,6.83,3.36,154.8,33.9,144.2,836.5,21.7,6.48,No fertilizer needed
Wheat,6.41,2.49,163.2,35.0,214.3,658.3,19.9,4.14,No fertilizer needed
Corn,7.02,1.71,148.3,36.8,202.4,746.7,20.2,6.53,No fertilizer needed
Corn,5.99,3.65,110.8,45.1,179.5,743.7,21.9,6.64,No fertilizer needed
Rice,6.08,3.44,87.9,24.7,131.6,882.7,21.5,4.77,No fertilizer needed
Soybeans,7.27,2.73,49.9,45.4,144.1,473.4,23.2,3.22,No fertilizer needed
Rice,5.5,3.52,100.5,32.3,157.6,766.1,26.1,5.12,No fertilizer needed
Wheat,7.26,3.18,93.6,22.7,212.0,560.2,20.6,4.28,No fertilizer needed
Wheat,5.81,4.35,107.6,40.4,239.8,587.5,16.1,4.42,No fertilizer needed
Soybeans,7.02,5.42,78.0,62.5,189.6,644.4,21.5,3.22,No fertilizer needed
Wheat,6.52,3.41,79.2,28.1,286.4,537.4,21.5,4.24,No fertilizer needed
Rice,5.89,3.89,113.9,43.0,200.0,993.5,24.6,4.83,No fertilizer needed
Rice,5.72,3.32,117.9,36.4,188.0,849.2,23.6,5.19,No fertilizer needed
Corn,7.25,3.07,131.2,51.3,179.4,652.3,21.4,6.27,No fertilizer needed
Corn,6.04,2.36,103.9,43.4,178.1,662.5,17.0,6.44,No fertilizer needed
Corn,6.41,3.11,94.6,62.0,190.5,671.7,24.0,6.43,No fertilizer needed
Wheat,7.51,2.0,108.9,31.5,186.7,558.0,19.0,4.22,No fertilizer needed
Rice,6.44,4.68,169.4,43.8,208.8,792.4,22.1,4.84,No fertilizer needed
Corn,5.97,3.67,99.7,39.1,153.5,716.1,22.3,6.52,No fertilizer needed
Corn,6.2,2.2,172.0,53.0,112.1,735.3,22.7,6.04,Need K fertilizer
Soybeans,7.62,3.89,61.3,32.4,209.3,488.4,21.1,3.26,No fertilizer needed
Soybeans,6.4,3.87,57.9,47.7,136.9,476.5,18.0,3.09,No fertilizer needed
Soybeans,7.08,4.59,81.0,49.3,180.5,492.0,24.3,3.12,No fertilizer needed
Wheat,6.57,3.3,119.7,32.1,201.2,683.2,19.3,4.54,No fertilizer needed
Rice,6.69,4.3,119.2,50.0,163.2,960.7,28.8,5.0,No fertilizer needed
Rice,6.33,3.8,88.3,25.4,136.2,793.2,25.3,5.18,No fertilizer needed
Rice,6.22,4.0,178.2,14.2,223.7,835.5,21.2,4.34,Need P fertilizer
Soybeans,6.66,3.97,53.2,39.2,242.5,538.4,22.6,3.05,No fertilizer needed
Rice,6.21,2.84,50.8,28.6,210.7,732.3,23.4,4.59,Need N fertilizer
Corn,6.43,2.29,141.0,43.5,137.3,646.0,20.9,6.5,No fertilizer needed
Corn,6.12,2.86,132.4,36.4,182.6,789.8,23.4,6.42,No fertilizer needed
Corn,6.47,3.07,110.1,51.6,130.0,667.1,23.1,6.48,No fertilizer needed
Rice,5.73,2.84,137.8,42.2,196.9,1007.2,27.7,4.83,No fertilizer needed
Rice,5.89,3.7,106.6,34.9,233.6,870.2,24.7,5.09,No fertilizer needed
Rice,5.87,4.14,92.8,55.1,83.8,931.5,24.8,4.67,Need K fertilizer
Wheat,6.64,3.43,77.1,37.0,293.3,611.6,15.6,4.35,No fertilizer needed
Corn,5.82,1.97,127.1,38.5,107.6,664.3,25.5,6.52,Need K fertilizer
Wheat,5.96,4.02,102.8,30.0,183.3,557.1,18.4,4.39,No fertilizer needed
Wheat,6.02,2.89,93.7,29.1,190.5,622.2,18.3,4.54,No fertilizer needed
Wheat,6.44,3.26,86.3,28.0,216.7,611.2,19.3,4.35,No fertilizer needed
Corn,6.08,2.33,98.9,44.7,127.6,641.9,23.9,6.18,No fertilizer needed
